,0
10,"
    şunu insanların çok iyi anlaması gerekiyor...doktorları devlet okutmuyor.doktorları anneleri, babaları, amcaları, dayıları okutuyor.hayırsever insanların bursları okutuyor.devletin bir yere üniversite kurması, fakülte açması, o fakülteye destek sağlaması, hoca görevlendirmesi, devletin doktor okuttuğunu göstermez. devletin görevini yerine getirdiğini gösterir.biz bu insanlara muhtacız.onların devlete borcu yok. olamaz da.biraz olsun kendimizin, ailemizin canını düşünüyorsak, okumuş yetişmiş beyinlerin gitmemesi daha da önemlisi >>>>>öldürülmemesi<<<<<< için elimizden geleni yapmalıyız.yapamıyorsak, gidebilirler. desteklediğim göçtür.*****edit: mesajları gördükçe kahroluyorum resmen.bir doktor eğitmenin masrafını biliyon mu sen amuğa goyim???!! avrupa da tıp eğitiminin fiyatından haberin var mı amuğa goyim??!!! tarzı o kadar çok mesaj aldım ki... toplu cevap vereyim... hangi hayat parayla ölçülebilir?! bir doktoru maliyeti velev ki 1 milyon dolar olsun. 100 milyon dolar olsun. bu insanlar öldürülüyor! bu insanlar 36 saat nöbetin üzerine 12 saat hasta bakıyor! bu insanlar insanlık dışı şartlarda 3 kuruş paraya çalıştırılıyor! harcanan para bütün bunları haklı çıkarıyor mu?beyinsizler. dangalaklar.hadi bak bunu geçtim. tamam bir doktoru ""eğitme"" maliyeti 1.000.000 $ olsun. ulan o kadar ""para harcadığın"" insanlar öldürülüyor. bunu anlamaya kafan basmıyor mu?! rezil, iğrenç insanlarsınız. *****
  "
11,"
#140821352 öncelikle sapla samanı ayırmak gerekir. türkiye'de bir eğitim sistemi var. üniversiteye giriş koşulları belli. ben ona göre tercih yaparım ancak hayatımı kendim yönlendiririm. bana sağlamak zorunda olduğun tıp eğitimini aldıktan sonra doktorluk yapmayabilirim de gider şarkı söylerim amk kime ne. senin bakış açından bakacak olursak o zaman yabancı uyruklu öğrenciler de üniversite sınavına tc öğrencileri ile beraber girmesi lazım. olur mu lan öyle bedavacılık. adamların götü sikiliyor üniversite kazanacağım diye. halbuki yabancı uyruklu adamlar kolay sorulardan oluşan 90 mı 120 mi ne kadarsa artık soru miktarı onun %60 ı ile hacettepe tıp'a giriyor. dolayısıyla sen güzel kardeşim know-how'ını elinde tutmayı bileceksin. gerekirse pozitif ayrımcılık yapacaksın. insanlar neden mutlu olduğu , ülkesini bıraksın başka yere gitsin. sen hep bana rabbena dersen imkanı olan da bak orada ananın amı var oraya kadar yolun var ben gidiyorum der. ( burada ananın amı metaforu sana değil , bilakis sistemi sürekli kendine işletenlerdir.)edit : cümlede anlam kayması olmuş , onu düzelttim.
  "
12,"
    bir hekim olarak yakında katılacağım göç.üç nedenim var : 1 - can güvenliğim yok2 - emeğimin karşılığını alamıyorum3 - siyasal islam diktatörlüğünü oluşturan kesim çoğunlukla cahil ve iş bilmez kişilerden oluştuğu için, okumuş - meslek erbabı herkese karşı (doktor, mühendis, öğretmen, pilot, sanatçı, sporcu farketmiyor) hayat boyu yaşadıkları ezikliğin acısını çıkartmaya çalışan bir kitle var. bunun tıpın herhangi bir dalında tedavisi yok maalesef. bu insanlar piyasadan yok olana kadar bu ülkede okumuş insanlar bok muamelesi görmeye devam edecek. hiç gerek yok buna. burada kendi aranızda savaşın, doğal seleksiyon sonucu sayınız azalsın. hastalandığınızda ağlayarak, sürünerek, feryat figan bizleri arayın, aklınız başınıza gelsin... adam olduğunuzda -belki- geri geliriz ülkeye.şu devlet okuttu geyiğini de bir kenara bırakın lütfen. götü yiyen buyursun okusun, zorunlu hizmetini yapsın, sonra günde 650 hastaya baksın, tehdit edilsin, hasta yakınları tarafından dövülsün / öldürülsün, kuş kadar maaşla geçinsin arkadaşlar..buradan tüm meslektaşlarıma sesleniyorum; işinizi, gücünüzü, hastanızı, nöbetinizi bırakın, yurtdışı çıkış işlemlerinizi başlatın bir an önce. çünkü yakında pasaport iptalleri ve iyi hal belgesi verilmemeye başlanması olası ...
  "
13,"
    insanları ambivalansa iten durum.. git diyemiyorlar, kal demek de işlerine gelmiyor..
  "
14,"
hazard ratio isimli yazarımsı ve onun zihniyetinin sebep olduğu göçtür. amerikada 1 milyon dolar olan eğitim demiş. 2021 yılı uzman doktor maaşlarına da baksın amerikada bi zahmet. 250-300 bin dolardan aşağı kazanılmıyor.bir de söylemekten dilimizde tüy bitti ama diğer üniversite mezunlarının kaçı devlete hizmet ediyor? onu da açıklasa keşke. herkes yurt dışına çalışıp dolarla maaş alma derdinde bu ülkede. bir de zeki arkadaşımız açıklarsa sevinirim. acaba 50 sene devlette çalışma zorunluluğu gelirse bundan sonra kim seçer tıbbı? sizin şu an bile beğenmediğiniz doktorları ülkede en yüksek matematik, geometri, kimya, biyoloji, fizik yapabilenler ve disiplinli çalışabilenler seçiyor. arkadaşın önerdiği şartlarda kalite nasıl olur açıklasın lütfen.edit: aynı yazarımsının tüm yazdıklarına cevap vermeyeceğim çünkü troll olduğu belli; ancak öncelikle tabi ki para için yapıyoruz bu işi. ve ölüm riskimizin, dayak yeme riskimizin olmaması lazım normal şartlarda. kolluk kuvveti değiliz biz.doktorluk çok ciddi işse; ciddi işe ciddi para verilir. ciddi işi yapan el üstünde tutulur ki biz el üstünde tutulmak falan istemiyoruz. can güvenliğini sağlayıp insani şartlarda çalıştırın yeter.bir de sistem çökerse ailemiz de altında kalırmış. kendi adıma ailemde bir sorun olduğunda arıyorum o branşın uzmanı arkadaşımı. sıra beklemiyorum, akşam bana çay içmeye geldiğimde muayenemi oluyorum. yani bizim ailemizi düşüneceğine kendi aileni düşün sen.
  "
15,"
    sanki devlet sadece doktorları 1 milyon dolarlık eğitimde okutuyormuş gibi konuşan sığırların olduğu başlık.bir tükenmediniz amk oldu bir tek doktorlarda sıkıntı var mühendisler için bina dikmiyor devlet agacta yetişiyor zaten.üstelik mecburi hizmeti olan mesleklerde belli zaten bir siktirin gidin kısacası.4-5 net fazla matematik netiymiş diyor bide beyni süngerimsi.
  "
16,"
    tıp, mühendisliğe benzemez. çok özel bir branş. 15-20 sene kamuya hizmet gerekiyor. bunu yapmayacak olan seçmemeli. kesinlikle bu ön şart getirilmeli. ilgi duyan, mesleği icra edecek olan adam tercih etsin bu bölümü. ülkenin hali belli, halkın durumu ortada. sanki ilk defa geliyorsunuz bu ülkeye. tıbbı seçerken ve okurken bilmiyordunuz sanki. herşey yeni oldu bir anda. amerika'da 400 bin dolar kazanıyorlarmış..tamam işte derdiniz meydanda zaten.. amerika'da oku o zaman güzel kardeşim. öde o kallavi ücretleri. sonra istersen günde 1 milyon dolar kazan. tıp hayati öneme sahip. o kadar hayati ki, eğer çökerse altında doktorların ailesi ve sevdikleri de kalır. o yüzden eğer yurtdışına gidecekseniz ailenizi de yanınızda götürün. burada çöken sistemin altında kalmasınlar. yok özele geçecekseniz, o zaman özel sağlık sigortası yaptırın ailenize. ama çok kapsamlı olsun.
  "
17,"
    (bkz: tabipler göçü)(bkz: #127348381)
  "
18,"
    eehh sıktı ama nereye istiyorlarsa gitsinler, kimse kimseyi zorla tutmuyor, yok giderlerse şöyle olur böyle olur, illaki bu vatanın insanlarına değer veren doktor vardır, bu millet kurtuluş savaşı vermiş millet. sanki gidecekleri yer çok daha iyi nankör olmaya gerek yok evet zor bir dönem ama bunlarda birgün geçecek zorlukta bu halkın yanında değillerse kendilerine az bir dokunulduğunda kaçacak insanlarda doktorluk yapmasın bu ülkede nereye giderlerse gitsinler....
  "
19,"
    15-20 az dedin kanka 100 sene kamuya hizmet şartı getirilsin. ya bi siktir git şurdan. amariga'da 1 milyon dolarlık eğitimmiş de burda bedavaymış. bi siktir de buna demek istiyorum.aylık 1000 dolara uzman hekim çalışıyor senin ülkende. yeni kabul alan arkadaşım 600bin dolar yıllık anlaştı 'amariga'da' kaldı ki bu senesi deneme gibi bir durum, seneye 2-3 milyon dolardan bahsediyor. sen de kamuda hekimine onlar gibi verirsen karşılığını istersin. ulan hepinizin argümanı aynı. malpraktis cezaları, alınan eğitimin bedeli amerikan dolarıyla. maaşa gelince türkiye usülü. siktir ya. ne güzel memleket. kaldı ki devlet hizmet yükümlülüğü ile 2 sene bedava hizmet veriyorsun nerdeyse. ben de isterim kamuda durmak da bana siktir git diyorlarsa da umurum olmaz kimin ne bok yediği.ondan sonra dohtur yok mu dohtur diye zırlarsınız. devlette yaptığım ameliyatın bedeli döner sermaye olarak 100-200 tl. aynısını özelde yapıyorum 20bin tl. ulan kim durur devlette o zaman?zaten üniversitelerdeki bütün kalifiye hocalar özellere geçti. bu saatten sonra uzman olacak hekimler de yetersiz olacak. kimse kusura bakmasın. halk kendi canavarını kendi yarattı. şimdi acısını çekiyor…
  "
20,"
    kim nerede nasıl mutlu olacaksa oraya gitmeli. hekimler de nerede mutlu olacaklarsa orada çalışsınlar. mühendisi de, hukuçuyu da, sağlıkçıyı da, edebiyatçıyı da devlet okutuyor. lakin ben bir mühendisin, döner ustasının vs. 'bak gidersem bizi çok ararsınız, muhtaç kalırsınız' gibi vatandaşa parmak sallayıp tehditler savurdugunu görmedim bugüne kadar. giden gidiyor, bu tribi niye bana atıp duruyorsunuz güzel kardeşim? gerek twitter'da gerek sözlükte, artık iyiden iyiye itici olmaya başladı bu durum. hayır, benim ne suçum var? ben mi belirliyorum senin maaşını, çalışma koşullarını? ben mi kabahatliyim? niye bana çemkiriyorsun? daha tıp fakültesinden başlayarak saçma sapan bir ast-üst ilişkiniz var ki, askeriyeden beter. lakin hiç bir şeye sesinizi çıkaramıyorsunuz. organize olamıyor, çalışma şartlarınızı düzeltme adına sesinizi yeterince duyuramıyorsanız, bunda benim suçum ne? çalışma şartlarınıza ben de üzülüyorum. ama haklarınızı aramanın yolu bu değil. ülkenin, belli bi seviyede olan, zeki insanlarısınız, yapmayın böyle gözünüzü seveyim.
  "
21,"
    bir yazar da git amerika'daki oku demiş; neden? bu doktor bu topraklarda doğdu, bu vatan için askerlik yaptı, annesi babası bu ülke için çalıştı, vergi ödedi.kimse istemez dilini bilmediği muhtemelen ikinci, üçüncü sınıf vatandaş olacağı ülkede çalışmak. ama itibar neredeyse insan orada yaşamak ister. kimse yaptığı iş yüzünden kafasına tuğla yemek, vurulmak istemez. tatlı tatlı öğrenemedik, acı acı tecrübe edeceğiz.
  "
22,"
    hekimlerin tıp kariyerlerini bırakarak diğer sektörlere geçmeleri de buna bir örnektir.(bkz: ferhat göçer)
  "
23,"
    hekimlik öncelikli olarak para için seçilmemesi gereken meslektir.. para elbette önemlidir ancak amaç değil araç olmalıdır bu meslekte. istanköylü hipokrat'tan utanın önce.zaten bu başımızdaki belayı siz musallat ettiniz biraz da.. devlet hastanesine gidersin, doktor olmaz. nerede dersin. muayenehanede derler. muayene olmak için kallavi ücret ödersin. sonra tahlil ve röntgen parası bayılırsın.. ameliyat olman gerekir bıçak parası isterler.90'lı yıllarda sağlık sistemindeki bu noksanlıklar yüzünden gidip bu şakirtlere oy verdiler ya..benim derdim doktorluk mesleği ile değil. o mesleğin kutsiyetine uymayan ve statü yahut para için o mesleği seçtiği belli olan paragöz tiplerden hoşlanmıyorum.
  "
24,"
    asıl sıkıntıyı yılar sonra hissedeceğiz. aynı göçmenleri almak gibi. alttan yetişmesi uzman yandal uzmanı vs olması gereken pratisyenler güzellik merkezine saç ekimine yurtdışına kaçıyor. gerisini anlayın işte uzun uzun yazmaya üşendim.
  "
25,"
    hiç kusura bakmayın ama gene sıçıp sıvama başlamış. bazı mankafalar hiç anlamayacak ama gene de yazalım. olum doktor sizin köleniz değil. 3 kuruş maaşa çalışsın, küfür, dayak yesin demeyi kendine hak görüyorsan hala anlamamışsın. bak doktorsuz kalacaksın dedik, güldün, aha 2 günlük haber koca ilde hematolog kalmamış. sen sıçmaya devam et, yeni başlıyor her şey. hastalanıp evini, arabanı satmak zorunda kalınca gene konuşuruz senle....
  "
26,"
    adamlara hak ettikleri diploma verilmiyor zaten sığır o kamuya hizmet şartı yüzünden.eczacı, diş hekimi, mühendis vs. mezun olup ertesi gün diplomasını alıyor, hekimlere nanay git mecburini yap diyorlar. zaten asistanlıkta taahhüt imzalıyorlar mecburi için.uzmanlığını alıp yan dal yapmaya kalkarsa hem maaşı düşüyor hem de ikinci bir zorunlu hizmet yükü çıkıyor.10 yıllık uzmanın aldığı maaş 2 bin dolar değil. yıl sonu vergi dilimi ile o da düşüyor. edit: ya bir de benim ekonomi bilmez arkadaşım maaşını bana söyleyip iyi de mi diye sordu. canım benim. ben de iyi dedim ne deyim.ben 2014 yılında asistanken 2200 dolar maaş alıyordum, şimdi bin dolar bile almıyorum.ülkeyi sikip attınız, imkanı olan gidiyor.edit: doktor nefretini anlamıyorum, çok saygı duyduğum bir meslek, sizinle enseye şaplak göte parmak olmak zorunda değiller. hele dermatologum adam bir dudak dolgusu yaptı zaman içinde eriyeceğine iyice güzelleşti, canım benim ellerine sağlık.annemin beli kırıldı doktor, babamda safra taşı çıktı doktor, ablamda kist vardı doktor, şimdi annemin dizi gene doktor.bütün bu işlemleri doktorlar yapıyor oğlum bu insanlar ne istiyor bu doktorlardan adamlar afedersiniz it gibi çalışıyor. doktorları seviyorum ve iyi doktorların gitmesine çok üzülüyorum. sadece iyi doktorlar değil kaliteli olan kim giderse ülke bok çukuruna bir adım daha yaklaşıyor.edit: sistem çökerse altında sizin ananız babanız kalır yazmış biri, kalmaz kardeşim bir hekim arkadaşına yönlendirir anasını babasını.
  "
27,"
    yurtdışına yerleşen arkadaşları gördükçe motive olduğum göçtür. yakında bir helga bulursam ben de giderim. arayış başladı çoktan.
  "
28,"
    hekime şiddet ve angarya çalışma koşullarını kim savunuyor arkadaşım? iyi misiniz? ya ne yazıldığını okumuyorsunuz, ya da okuduğunuzu anlamıyorsunuz. hangi insan evladı hekime şiddeti ve angarya çalışma şartlarını savunabilir?biz diyoruz ki, sağlık işinin şakası olmaz. bu bir vatan hizmetidir. hekime şiddet ve angarya çalışma şartları konusunda haklısınız. ancak bu ülkede mesleği icra etmeyecekseniz olmaz o iş. bu sistem çökerse altında sizin ananız, babanız da kalır. sakın ama sakın unutmayın bu gerçeği.askerin yaptığı görev kadar hayati bir mesele cerrahlık ve nitelikli doktorluk. o yüzden en baştan bu şartları kabul eden kişiler tercih etmeli.
  "
29,"
    ulan 1 milyon dolarlar filan havada uçuşuyor. afedersin de hangi eğitimin masrafı bu?tıp eğitiminde en pahalı gider, kadavra masrafı olup zaten artık çoğu fakültede kadavra filan yok. ne yank 2-3 kurbağa kesmenin maliyeti ne zaman 1 milyon tl oldu?internlük'de adamlar hata yaptığını anladı artık maaş bağladılar internlere. çünkü adamlar sekreter-memur-doktor gibi hizmet üretiyorlar.5 yıl boyunca öğretmen, mühendis, tarih bölümü öğrencileri gibi amfide ders dinlenmenin maliyeti varsa herkes devlete zorunlu çalışsın kardeşim. öğretmen de, tarih bölümü mezunu da, sosyoloji mezunu da! hodri meydan.kimse kimsenin uşağı değil. sadece geçen ay benim cevremden 13 tane uzman devleti bıraktı. özele geçtiler. nedenleri mi?-torpille atanmış temizlik personeli; hocam aynı maaşı aldık bu ay senle.-hergün polikliniklerde kaos. sıfır hastanede yapmışlar hasta yatırmak için yatak yok. her gün yatak kavgası.-randevusuz gelip kabul edilen hastaların sürekli kavga çıkarması-kimsenin sıra kavramını bilmemesi.-can güvenliği yok kimsenin. -muayene uzun sürmesi halinde kapı tekmelemer.-yöneticilerin gerçek yönetici olmaması.-hastanenin sorunlarını doktorların kapatmasının istenmesive her gün sorunlar artıyor. her gün bir poliklinik de kavga çıkıyor ve büyük yöneticiler bu yangınlara körükle gidiyor.doktorlar sistemin düzelmesi için aylardır dil döküyor. ama artık kimse konuşmuyor farkındasanız. çoğu uzman-yandal uzmanı kamudan ayrıldı. ayrılmayı bekleyen binlercesi var.geçmiş olsun türkiye.
  "
30,"
    doktorlara köle muamalesi çekenleri gördüğümüz başlık.oldu paşam 15-20 yıl zorunlu hizmetmiş. bu arkadaş sanıyor ki bu şartlarda doktorluk yapmaya hevesli milyonlar var. muhtemelen yaşıda maksimum 19-20 civarı. 6 yıl okul, son senesinde fulltime çalışmana rağmen verdikleri köle yevmiyesi (aylık bin lira civarı evet), sonrasında ise gecesi gündüzü belli olmayan bu işi yapıp ay sonu geldiğinde herkesten az kazandığını gördüğünde ne hissedersin otur düşün. ulan ülkedeki bekçi bile daha esnek daha az çalışıp senden çok daha fazla kazanıyor. dünyanın en idealist kişisini bu mesleğe koy maksimum 3 aya bırakır. mesleki tatmin duygusu, geçim derdinin ya da en basitinden mesleği icra ederken can güvenliğinin önüne geçemez. ayrıca şu 1 milyon $ eğitim geyiğini de kesin. yetti be bu kadar cahillik.
  "
31,"
    olması gereken göçtür. kimse can güvenliği tehlikesi olan bir yerde bulunmak istemez. #140821739amerikada 1 milyon dolar olduğunu söylediğin eğitimin burada yabancılara ne kadara verildiğinden haberin var mı?hepsi kolay bir sınava girip çok cüzi bir ücretle okuyorlar. bazılarının eğitim ücretini karşılayan kurumlar da var. hatta kendi ülkesindeki türk konsolosluğundan burs alan öğrenciler de var. çoğunun durumu benimkinden iyidir. hepsine kyk çıkar bana çıkmaz. bu devlet bana 5 6 ay sonra yurt çıkarıyorsa, son dakikada ev, yurt aramaya mecbur bırakıyorsa beni devlet okutmamıştır. burs vermiyor da kredi veriyorsa beni devlet okutmamıştır. bu ülkenin hiçbir hekimi devlete borçlu değil. herkes hakkıyla çalışıp kazandı. hadi diyelim beni devlet okuttu. yabancı olan diplomasını alıp giderken zorunlu görevi yine biz yapıyoruz? zaten o süre içinde devlete olmayan borcumuzu fazlasıyla ödemiş oluyoruz.
  "
32,"
    yok hekimlik para için yapılmazmışkutsal meslekmişdevlet okutmuşmuşbelli bi süre zorunlu çalışılmalıymış şart olmalıymışfalan filanhangi kafadasınız arkadaşlarhekimlik de bi meslek ; mühendislik gibi öğretmenlik gibi ya da kasaplık gibiparası için de istenebilir statüsü için de istenebilir gereklilikleri sağlandıktaan sonra da okunur sen tüm mesleklerde hayat standartını gerekli seviyeye oturttun mu ki adam paraya göre değil ilgisine göre meslek seçecek ?hekimlerin çoğu bu işi para için yapıyor ve bu utanılacak birşey değil, para kazanmak zorunda ; devlette kazanamıyorsa çalıştığının aldığı riskin zorluğun karşılığını alamıyorsa bu adam özele geçmekte ya da yurtdışında insan gibi yaşamayı tercih etmekte özgür, kimse de ağzını açıp tek kelime e de mezbu tüm mesleklerde geçerli , beğenmiyorsan tercih şansın varsa daha çok istediğini seçersin , bu insanları devlet okutmadı tekrar söylüyorum , bu , insanları, devlet, okutmadı, ya 25k kredi çekip 50k ödeyerek kendileri okudu ya da (veya ayrıyeten )anaları babaları sevenleri gerekirse varını yoğunu satıp okuttu burda atıp tutanlar kaç defa bir başkasının hayatını kurtarma- karartma riskini almış çok merak ediyorumsen kendi hayatının boktanlığından memnunsan daha iyi olmak istemiyorsan bi başkasına bok atma kardeşim sen de daha iyiyi hedefle , üniversite okuyup asgari ücretle neden çalışılıyor diye sor mesela ; hastanede sağlık çalışanlarına darp hatta ölüm neden var diye sor neden en ağır cezaları almıyorlar diye sor , sen eşşek olursan semer vuran çok olur ama semerinden memnunsan başkalarını eşşek olmadıkları için suçlama
  "
33,"
    entrylerinde doktorluk ciddi iş yok öyle bedavaya okuyup gitmek diyen sığır içeren başlık. sik kafası madem ciddi iş o zaman devlet de bir zahmet ciddiye alsın doktorların yaşadığı olayları, amın feryadı seni.
  "
34,"
    off türkiye’de her işte argüman serbest piyasa. iş doktorlara gelince herkes katı komünist kesiliyor. bunları ciddiye alıp dinlediğiniz kabahat.adam vasıfsız esnaf. her türlü ahlaksızlığı ve kanunsuzluğu işinde hak görür, adına “serbest piyasa” der. doktor ile ayakkabı boyacısının gelirini kıyaslandığında “ayakkabı boyacısı risk alıyor tabii ki daha fazla kazanacak. çok istiyorsa doktorlar da ayakkabı boyasın. tutan mı var?” der. ama iş kendi çıkarına dayanınca aniden devletçi, komünist kesilir. öyle ya vergisini kaçırdığı devlet kendisine bedava sağlık hizmeti vermeli. hastanede sıra beklememeli. doktorlar özel hastaneymiş gibi beyefendiyi kapılarda karşılamalı, onun egosunu pohpohlamalı.peki parası? para yook. vatan millet aşkına yapılmalı bu iş. buna karşı çıkan vatan haini sayılmalı. ülkeden kaçan doktorlar savaştan kaçan askerler gibi gerekirse kurşuna dizilmeli.kendisi boğuluyor olsan dükkanından bir şişe bedava su vermez ama. çünkü o serbest piyasa. doktordur öğretmendir. o kısım komünizm.not: doktor değilim.
  "
35,"
    yaklaşık 2 yıl süren mecburi hizmet bitmeden türkiye’de özel hastanelerde çalışamıyorsun. zaten yurt dışına giden istifa edip gidiyor. 2 yılı beklemiyor. sen 15 yıl mecburi hizmet de koysan istifa edip gider. bir şekilde gider.
  "
36,"
    isteyen istediği yere gider size ne noldu zorunuza mı gitti? yok zorunluluk getirilmeliymiş çalışma şartı getirilmeliymiş. atı alan üsküdar'ı geçti doktorlar mı kalacak?
  "
37,"
    örgütlü cahilliğin sonucudur. düşünün ki cahilin biri cimer'den doktor tehdit edecek kadar cüret sahibi. başına bir şey gelmeyeceğinden o kadar emin. bırakıp giden doktoru kim suçlayabilir ki?dünyada hiç bir ülke yoktur ki yetişmiş insanını bu kadar ayak altına alsın. zaten yıllardır yetişmiş mühendisimizi, yazılımcımızı, bilim insanımızı kaybediyoruz. ancak bunların topluma etki etmesi on yıllar sürüyor. bir türk yurt dışında büyük bir iş başarınca utanmadan övünüyoruz. kimse neden türkiye varken başka ülkede yaptığıyla ilgilenmiyor.ancak hekim göçü öyle değil. hekimin gidişi aynı gün etkisini gösteriyor. bir ilin tek onkoloğu ya da tek hematoloğu bir kaç beyinsiz yüzünden çekip gidince hastaların tedavisi yarım kalıyor. birileri de utanmadan doktorları suçluyor. ya hep beraber doktorlara sahip çıkıp şartlarının iyileştirilmesi için elimizden geleni yaparız ya da en ufak tıbbi problemimiz için özel hastanelere eşek yüküyle para vermeye razı olacağımız bir hayata başlarız. şunu da söyleyeyim bir noktadan sonra parayla da hizmet alamayacak hale geleceğiz. doktorları suçlamadan önce herkesin aklını başına alması lazım.
  "
38,"
    hekime şiddeti ve angarya çalışma şartlarını savunan insan değildir ve olamaz da. ben ne anlatıyorum, siz olayı nereye çekiyorsunuz?sağlık işi o kadar hayati bir sektör ki, eğer çökerse altında doktorların ailesi, arkadaşları ve sevdikleri de kalır.bu işin şakası yok. kimsede özelde tedavi olacak para da yok. tedavi için yurtdışına gidecek imkan da yok. kimse keyiften hastalanmaz. kanser, kalp damar hastalıkları gibi ölümcül hastalıklarda ve acil ameliyat gerektiren durumlarda çok sevdiğiniz bir insan hasta olarak sağlık hizmeti alamazsa ne demek istediğimi anlarsınız.
  "
39,"
    (bkz: yurtdışına kapağı atmaya çalışan atatürkçü genç)milli bayramlarda instagram postu atmayı unutmayın gençler, psikolojinize iyi gelir. sonuçta hayaller atatürk, gerçekler vahdettin.
  "
